grouping,group,n,prevalence,mean_predicted_risk,accuracy,roc_auc,precision,recall,specificity,f1
age_category,Elderly,184,0.7554347826086957,0.7717898399061882,0.7554347826086957,0.5776179056754598,0.7554347826086957,1.0,0.0,0.8606811145510835
age_category,Middle Aged,546,0.4468864468864469,0.4259008421217518,0.7948717948717948,0.8384675930952122,0.782051282051282,0.75,0.8311258278145696,0.7656903765690377
age_category,Senior,564,0.6595744680851063,0.6824653471897363,0.7074468085106383,0.7830421146953406,0.729490022172949,0.8844086021505376,0.3645833333333333,0.7995139732685298
age_category,Young Adult,370,0.1810810810810811,0.19639721570997784,0.8243243243243243,0.8149352248657702,0.5217391304347826,0.3582089552238806,0.9273927392739274,0.4247787610619469
gender,female,894,0.49328859060402686,0.4944708593561743,0.7807606263982103,0.8731059752819449,0.7546777546777547,0.8231292517006803,0.739514348785872,0.7874186550976139
gender,male,770,0.4948051948051948,0.5065865814344135,0.7519480519480519,0.8353541282918041,0.7188940092165899,0.8188976377952756,0.6863753213367609,0.7656441717791411
ethnicity,Mexican American,213,0.45539906103286387,0.488555025694212,0.7887323943661971,0.8973515819409884,0.7407407407407407,0.8247422680412371,0.7586206896551724,0.7804878048780488
ethnicity,Non-Hispanic Asian,195,0.2358974358974359,0.23922564353889664,0.8564102564102564,0.8148526407936971,0.8,0.5217391304347826,0.959731543624161,0.631578947368421
ethnicity,Non-Hispanic Black,385,0.5636363636363636,0.5556422404602873,0.7714285714285715,0.8510533245556287,0.7611336032388664,0.8663594470046083,0.6488095238095238,0.8103448275862069
ethnicity,Non-Hispanic White,614,0.5586319218241043,0.5525462209030283,0.741042345276873,0.8255677600507783,0.7346938775510204,0.8396501457725948,0.6162361623616236,0.7836734693877551
ethnicity,Other Hispanic,190,0.4631578947368421,0.47629033666790666,0.7526315789473684,0.8654188948306595,0.7204301075268817,0.7613636363636364,0.7450980392156863,0.7403314917127072
ethnicity,Other Race(IMR),67,0.4626865671641791,0.5632326690655819,0.7014925373134329,0.8100358422939068,0.6222222222222222,0.9032258064516129,0.5277777777777778,0.7368421052631579
